Date Time,press (mbar),Temp (degC),Temppot (K),Tempdew (degC),relativehum (%),VPressmax (mbar),VPressact (mbar),VPressdef (mbar),sh (g/kg),H2OC (mmol/mol),relativeho (g/m**3),windvelo (m/s),max. windvelo (m/s),winddeg (deg),windveloX,windveloY
6.1,5.91,0.19,3.69,5.92,1271.32,1.16,2.04,192.4,-1.1329398428676345,-0.2490929795137935,192.39818175627212,-0.8364549482537965,-0.2490664356816094,0.0036363525568729,-0.836454946569187,-5.3086721458344766e-05
6.11,5.93,0.18,3.7,5.94,1271.16,1.01,2.12,211.6,-0.8602442034844783,-0.5292257650297797,211.5909735023396,-1.9544647175712824,-0.5289178865911066,0.0180493660651236,-1.9544646205925558,-0.0006156971571926962
6.13,5.95,0.18,3.71,5.96,1270.97,0.8,1.52,203.8,-0.7319677342798598,-0.3228362370819122,203.79676486563164,-1.1483162902490458,-0.3227714011838762,0.0064698184677685,-1.148316282928045,-0.00012966745524437492
6.14,5.95,0.19,3.71,5.96,1270.93,0.77,1.64,184.2,-0.7679321474628328,-0.0563934117882762,184.1999107781816,-0.1812989519036801,-0.0563931294671783,0.0001784433247415,-0.18129895190280082,-5.646417244816933e-07
6.09,5.89,0.19,3.68,5.9,1271.54,0.84,1.92,200.1,-0.7888391717595556,-0.2886741434519173,200.09746027507504,-1.0081624198345531,-0.2886294563253906,0.0050791770010013,-1.0081624158732148,-8.937194698994377e-05
6.14,5.96,0.18,3.72,5.97,1270.93,0.33,0.84,159.8,-0.3097026975106535,0.1139484056695164,159.79968397759237,0.3178060125425643,0.1139466527737273,0.0006320413659673,0.3178060125232278,3.5057825896248713e-06
6.09,5.88,0.21,3.67,5.88,1271.5,0.36,0.76,163.5,-0.3451751045525494,0.1022455240934121,163.4997396659396,0.2917690353229381,0.1022441983895992,0.0005206657322952,0.291769035310891,2.651401896028036e-06
6.07,5.87,0.2,3.66,5.87,1271.62,0.29,0.84,39.75,0.2229641313013032,0.1854373105743695,39.74979181198064,0.1286503175165781,0.1854368431155027,0.0004163753253958,0.128650317513181,9.34917340735993e-07
5.93,5.71,0.22,3.56,5.71,1273.12,0.18,0.4,240.5,-0.088636240818624,-0.1566640252691819,240.4991009618697,-0.657599066605703,-0.1566537068865335,0.0017980356645289,-0.6575990662818987,-2.063653875681934e-05
5.81,5.6,0.21,3.49,5.6,1274.56,0.29,0.88,170.0,-0.2855942483735403,0.0503579715234097,169.9999343386075,0.1494150900736661,0.0503578002927053,0.0001313226277203,0.14941509007327364,3.424612147050338e-07
5.7,5.5,0.19,3.43,5.51,1275.8,0.55,0.8,166.9,-0.5356867820034784,0.1246582190902703,166.8996049766742,0.363123436467281,0.1246557155604805,0.0007900410510881,0.3631234364327604,5.007042819737516e-06
5.77,5.61,0.16,3.5,5.62,1275.09,0.2,0.4,2.89,0.1997456344213203,0.0100837259792322,2.8899999552426205,0.000508623290881,0.0100837259788348,8.951475894766198e-08,0.000508623290881,7.946360389072565e-13
5.85,5.68,0.17,3.54,5.69,1274.03,0.35,0.6,152.2,-0.3096033413252793,0.1632353241189619,152.1993823145235,0.4336162791163565,0.1632306494811311,0.0012353583247961,0.43361627901556676,9.349231037334727e-06
5.8,5.62,0.18,3.5,5.62,1274.74,0.19,0.56,271.0,0.0033159572230837,-0.1899710620797143,270.9985104038744,-0.8985315137407944,-0.1899477022368769,0.0029790674086698,-0.8985315125262351,-4.6718728146994965e-05
